"<continuous data>";;;;;;;;;;
"------------------------------------------------------------";;;;;;;;;;
"Glass";;;;;;;;;;
"ranges";"folds";"smooth";"TP";"FP";"Accuracy";"Precision";"Recall";"F";;
5;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;0,42039183
5;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;0,43620005
5;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;0,4842201
5;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;0,45301378
6;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
6;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
6;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
6;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
7;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
7;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
7;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
7;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
8;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
8;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
8;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
8;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
9;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
9;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
9;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
9;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
10;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
10;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
10;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
10;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
11;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
11;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
11;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
11;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
12;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
12;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
12;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
12;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
13;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
13;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
13;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
13;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
14;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
14;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
14;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
14;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
15;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
15;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
15;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
15;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
16;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
16;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
16;5;"true";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
16;10;"true";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
17;2;"true";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
17;3;"true";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
