wine
fold;numberOfClassfiers;samplingFactor;k;classificationAlgorithm;weightedTPRate;weightedFPRate;weightedAccuracy;weightedPrecision;weightedRecall;F
2;2;0.1;const;KnnBagging;0.505618;0.1894033;0.6771241;0.6983811;0.505618;0.4596046
3;2;0.1;const;KnnBagging;0.6235955;0.21742195;0.74510795;0.62626547;0.6235955;0.6094916
5;2;0.1;const;KnnBagging;0.7022472;0.1642901;0.80008835;0.69184977;0.7022472;0.691682
10;2;0.1;const;KnnBagging;0.6797753;0.1714136;0.7868957;0.6580054;0.6797753;0.66411585
2;2;0.1;const;KnnAdaBoost;0.44382024;0.34689823;0.6132117;0.50771296;0.44382024;0.3821938
3;2;0.1;const;KnnAdaBoost;0.39325842;0.31907204;0.592886;0.3773388;0.39325842;0.38398176
5;2;0.1;const;KnnAdaBoost;0.60674155;0.21827248;0.73560786;0.6043442;0.60674155;0.5744171
10;2;0.1;const;KnnAdaBoost;0.6011236;0.1986032;0.7329252;0.6056007;0.6011236;0.59867316
2;2;0.1;growing;KnnBagging;0.6573034;0.21111025;0.7664752;0.6797357;0.6573034;0.6284183
3;2;0.1;growing;KnnBagging;0.6573034;0.21395448;0.7675799;0.6735764;0.6573034;0.5999456
5;2;0.1;growing;KnnBagging;0.6797753;0.19598453;0.78298193;0.7154249;0.6797753;0.63145363
10;2;0.1;growing;KnnBagging;0.64606744;0.20889325;0.7611097;0.614664;0.64606744;0.60576224
2;2;0.1;growing;KnnAdaBoost;0.34269664;0.3365672;0.5562113;0.33921292;0.34269664;0.3394516
3;2;0.1;growing;KnnAdaBoost;0.6235955;0.19946499;0.75321925;0.64293385;0.6235955;0.6177062
5;2;0.1;growing;KnnAdaBoost;0.36516854;0.3351152;0.5670686;0.36091438;0.36516854;0.3624605
10;2;0.1;growing;KnnAdaBoost;0.4550562;0.31277233;0.6278563;0.4168255;0.4550562;0.41990328
2;2;0.1;falling;KnnBagging;0.5224719;0.26595616;0.67289484;0.53822696;0.5224719;0.47340724
3;2;0.1;falling;KnnBagging;0.6123595;0.15968058;0.7500631;0.72047347;0.6123595;0.6274117
5;2;0.1;falling;KnnBagging;0.6348315;0.210446;0.75265115;0.63351667;0.6348315;0.61927146
10;2;0.1;falling;KnnBagging;0.66292137;0.19557665;0.77417624;0.64406943;0.66292137;0.63548833
2;2;0.1;falling;KnnAdaBoost;0.31460676;0.3700369;0.5419139;0.21383427;0.31460676;0.25293177
3;2;0.1;falling;KnnAdaBoost;0.24157304;0.40252793;0.48327228;0.24005708;0.24157304;0.23906775
5;2;0.1;falling;KnnAdaBoost;0.24157304;0.40510693;0.48444006;0.22618856;0.24157304;0.2325299
10;2;0.1;falling;KnnAdaBoost;0.23595506;0.43056145;0.4744035;0.20670612;0.23595506;0.21350195
2;2;0.5;const;KnnBagging;0.6516854;0.18603466;0.76597023;0.6394716;0.6516854;0.64377826
3;2;0.5;const;KnnBagging;0.6516854;0.19359104;0.7670433;0.6279928;0.6516854;0.6314941
5;2;0.5;const;KnnBagging;0.69101125;0.17576376;0.7929238;0.6699892;0.69101125;0.6660343
10;2;0.5;const;KnnBagging;0.6797753;0.17802756;0.7854438;0.6568245;0.6797753;0.65809107
2;2;0.5;const;KnnAdaBoost;0.60674155;0.20501077;0.73472416;0.6026574;0.60674155;0.6042974
3;2;0.5;const;KnnAdaBoost;0.6011236;0.20050499;0.7383538;0.58571047;0.6011236;0.582224
5;2;0.5;const;KnnAdaBoost;0.64044946;0.1923334;0.7582376;0.6215267;0.64044946;0.6230779
10;2;0.5;const;KnnAdaBoost;0.6348315;0.18779378;0.75776416;0.6166823;0.6348315;0.6209363
2;2;0.5;growing;KnnBagging;0.69101125;0.17126605;0.79364985;0.6835648;0.69101125;0.680967
3;2;0.5;growing;KnnBagging;0.69101125;0.17955041;0.79260826;0.6740595;0.69101125;0.65632874
5;2;0.5;growing;KnnBagging;0.66853935;0.1880791;0.7790367;0.63719803;0.66853935;0.6373768
10;2;0.5;growing;KnnBagging;0.6573034;0.19080567;0.7701048;0.646664;0.6573034;0.6446749
2;2;0.5;growing;KnnAdaBoost;0.60674155;0.2172793;0.7387325;0.5958193;0.60674155;0.58973265
3;2;0.5;growing;KnnAdaBoost;0.6573034;0.16625166;0.77127254;0.6653559;0.6573034;0.6574407
5;2;0.5;growing;KnnAdaBoost;0.6123595;0.188783;0.74577075;0.61068666;0.6123595;0.6042077
10;2;0.5;growing;KnnAdaBoost;0.5898876;0.22353612;0.7242141;0.56070334;0.5898876;0.56118745
2;2;0.5;falling;KnnBagging;0.6966292;0.16801791;0.7959538;0.684144;0.6966292;0.68440604
3;2;0.5;falling;KnnBagging;0.6797753;0.18935366;0.78506505;0.66561407;0.6797753;0.64819163
5;2;0.5;falling;KnnBagging;0.7078652;0.1721367;0.8035286;0.7102187;0.7078652;0.6862357
10;2;0.5;falling;KnnBagging;0.6853933;0.18727933;0.7884737;0.67997515;0.6853933;0.6559098
2;2;0.5;falling;KnnAdaBoost;0.46629214;0.26049194;0.64606744;0.48381025;0.46629214;0.4514031
3;2;0.5;falling;KnnAdaBoost;0.5;0.2538981;0.6611539;0.5020248;0.5;0.49892795
5;2;0.5;falling;KnnAdaBoost;0.55617976;0.22367972;0.7006691;0.5642522;0.55617976;0.55830926
10;2;0.5;falling;KnnAdaBoost;0.5;0.26902777;0.6615011;0.48389336;0.5;0.4839998
2;2;0.75;const;KnnBagging;0.71348315;0.15777689;0.8079472;0.7047582;0.71348315;0.7043081
3;2;0.75;const;KnnBagging;0.6741573;0.19071695;0.7805517;0.6605322;0.6741573;0.6488554
5;2;0.75;const;KnnBagging;0.71348315;0.16344841;0.8087047;0.7038425;0.71348315;0.6946663
10;2;0.75;const;KnnBagging;0.71348315;0.16250598;0.8069372;0.7115261;0.71348315;0.70287347
2;2;0.75;const;KnnAdaBoost;0.5898876;0.20508257;0.7276228;0.58140147;0.5898876;0.5837493
3;2;0.75;const;KnnAdaBoost;0.6573034;0.18964876;0.7705151;0.6257576;0.6573034;0.62475586
5;2;0.75;const;KnnAdaBoost;0.6292135;0.18442799;0.74892694;0.62899226;0.6292135;0.6242687
10;2;0.75;const;KnnAdaBoost;0.6741573;0.16548571;0.7822244;0.66690814;0.6741573;0.66062987
2;2;0.75;growing;KnnBagging;0.69101125;0.160651;0.792987;0.6823232;0.69101125;0.68557614
3;2;0.75;growing;KnnBagging;0.69101125;0.17930213;0.79150367;0.68656427;0.69101125;0.6731074
5;2;0.75;growing;KnnBagging;0.69101125;0.17316782;0.7937129;0.67479694;0.69101125;0.67175037
10;2;0.75;growing;KnnBagging;0.6797753;0.17920136;0.7851281;0.67258334;0.6797753;0.6681927
2;2;0.75;growing;KnnAdaBoost;0.58426964;0.20909251;0.72705466;0.5574594;0.58426964;0.5567098
3;2;0.75;growing;KnnAdaBoost;0.6516854;0.1779986;0.7678324;0.65707284;0.6516854;0.6541293
5;2;0.75;growing;KnnAdaBoost;0.64606744;0.19383126;0.7621828;0.65651745;0.64606744;0.6184121
10;2;0.75;growing;KnnAdaBoost;0.6516854;0.17707309;0.77010477;0.64159006;0.6516854;0.6452983
2;2;0.75;falling;KnnBagging;0.73595506;0.1475947;0.82480115;0.7239141;0.73595506;0.718829
3;2;0.75;falling;KnnBagging;0.7022472;0.16476977;0.8004987;0.6895211;0.7022472;0.6877896
5;2;0.75;falling;KnnBagging;0.66853935;0.18477213;0.77837396;0.6548221;0.66853935;0.65263635
10;2;0.75;falling;KnnBagging;0.6966292;0.17297837;0.7956066;0.6867363;0.6966292;0.67986506
2;2;0.75;falling;KnnAdaBoost;0.58426964;0.24445911;0.7136094;0.62734693;0.58426964;0.57686883
3;2;0.75;falling;KnnAdaBoost;0.5224719;0.24890776;0.68185836;0.49980262;0.5224719;0.5070374
5;2;0.75;falling;KnnAdaBoost;0.5224719;0.2706683;0.67583007;0.5006988;0.5224719;0.46534848
10;2;0.75;falling;KnnAdaBoost;0.5898876;0.21194482;0.7275281;0.5838185;0.5898876;0.5863214
2;2;0.9;const;KnnBagging;0.6741573;0.16450945;0.7835185;0.66861814;0.6741573;0.6706823
3;2;0.9;const;KnnBagging;0.7022472;0.1727889;0.8001199;0.7017503;0.7022472;0.6858627
5;2;0.9;const;KnnBagging;0.69101125;0.16749632;0.7940601;0.67767626;0.69101125;0.6800178
10;2;0.9;const;KnnBagging;0.71348315;0.15494959;0.80832595;0.6996814;0.71348315;0.70193493
2;2;0.9;const;KnnAdaBoost;0.64606744;0.18387651;0.7619934;0.63560814;0.64606744;0.637917
3;2;0.9;const;KnnAdaBoost;0.6235955;0.17919423;0.7524618;0.6297013;0.6235955;0.6160058
5;2;0.9;const;KnnAdaBoost;0.69101125;0.1580551;0.794786;0.67861867;0.69101125;0.6826784
10;2;0.9;const;KnnAdaBoost;0.64044946;0.1849915;0.7617725;0.6281197;0.64044946;0.63336223
2;2;0.9;growing;KnnBagging;0.71348315;0.14597112;0.8105353;0.70833635;0.71348315;0.7105895
3;2;0.9;growing;KnnBagging;0.71348315;0.16085249;0.8087363;0.7048382;0.71348315;0.6990474
5;2;0.9;growing;KnnBagging;0.6741573;0.19048555;0.78020453;0.657949;0.6741573;0.6466629
10;2;0.9;growing;KnnBagging;0.7247191;0.15858869;0.81476456;0.7246782;0.7247191;0.7119414
2;2;0.9;growing;KnnAdaBoost;0.505618;0.25989366;0.66604596;0.49475956;0.505618;0.47982317
3;2;0.9;growing;KnnAdaBoost;0.6573034;0.17078319;0.7739868;0.6577514;0.6573034;0.6399608
5;2;0.9;growing;KnnAdaBoost;0.6179775;0.20087902;0.74258304;0.60359216;0.6179775;0.60217476
10;2;0.9;growing;KnnAdaBoost;0.6235955;0.20260824;0.74352986;0.6324401;0.6235955;0.59962934
2;2;0.9;falling;KnnBagging;0.69101125;0.17386198;0.79150367;0.6965002;0.69101125;0.68674755
3;2;0.9;falling;KnnBagging;0.69101125;0.17339922;0.7940285;0.6720073;0.69101125;0.6706896
5;2;0.9;falling;KnnBagging;0.7247191;0.15599278;0.8140702;0.7250458;0.7247191;0.71701247
10;2;0.9;falling;KnnBagging;0.7078652;0.1674076;0.8031499;0.7095343;0.7078652;0.6977886
2;2;0.9;falling;KnnAdaBoost;0.6235955;0.2002268;0.74779075;0.6024727;0.6235955;0.59809023
3;2;0.9;falling;KnnAdaBoost;0.41011235;0.29467762;0.6070256;0.4055537;0.41011235;0.400748
