"RangeDiscretizer";;;;;;;;
"------------------------------------------------------------";;;;;;;;
"Glass";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
5;2;0,52678573;0,099516936;0,8305963;0,6152404;0,52678573;0,55961144;
5;3;0,54464287;0,106838085;0,83314735;0,5939277;0,54464287;0,5649854;
5;5;0,53571427;0,122149006;0,82477677;0,5692248;0,53571427;0,5436992;
5;10;0,5535714;0,11235654;0,828125;0,5968494;0,5535714;0,5699295;
6;2;0,5114504;0,072586484;0,84936786;0,62683743;0,5114504;0,5621928;
6;3;0,6183206;0,08176654;0,86253715;0,70810664;0,6183206;0,6545662;
6;5;0,6183206;0,07937416;0,86189616;0,70308965;0,6183206;0,65701985;
6;10;0,610687;0,08443292;0,85601074;0,7005503;0,610687;0,65086675;
7;2;0,48175183;0,10208438;0,81480104;0,5804855;0,48175183;0,5259048;
7;3;0,55474454;0,09055942;0,83994883;0,6857992;0,55474454;0,60701054;
7;5;0,5912409;0,07765479;0,8552933;0,6905969;0,5912409;0,63497937;
7;10;0,5474453;0,0950871;0,8337685;0,6475064;0,5474453;0,5912089;
8;2;0,5469613;0,111627154;0,8114526;0,6343214;0,5469613;0,5823704;
8;3;0,58563536;0,09220281;0,84475446;0,6719242;0,58563536;0,6248714;
8;5;0,5690608;0,11063737;0,82158667;0,63713133;0,5690608;0,5937008;
8;10;0,5690608;0,10988317;0,8230823;0,64810795;0,5690608;0,60361105;
9;2;0,5945946;0,09707371;0,84093493;0,6904234;0,5945946;0,6367775;
9;3;0,56216216;0,0956944;0,8371073;0,7159746;0,56216216;0,60555476;
9;5;0,53513515;0,10825026;0,8135573;0,666479;0,53513515;0,59028757;
9;10;0,55675673;0,09833132;0,8244266;0,6880818;0,55675673;0,6133217;
10;2;0,44148937;0,11859448;0,78324467;0,5816911;0,44148937;0,49780148;
10;3;0,5159575;0,14035204;0,7893277;0,60175216;0,5159575;0,5473385;
10;5;0,5106383;0,13393696;0,78893167;0,6128212;0,5106383;0,55369717;
10;10;0,5053192;0,12815693;0,789639;0,59170324;0,5053192;0,54391074;
11;2;0,4871795;0,10229792;0,8067062;0,60543823;0,4871795;0,53634787;
11;3;0,52820516;0,123030834;0,80315584;0,6330064;0,52820516;0,567342;
11;5;0,5538462;0,09556001;0,82848126;0,6893993;0,5538462;0,60623556;
11;10;0,5641026;0,10810907;0,81785667;0,6837043;0,5641026;0,61025476;
12;2;0,5219512;0,14050393;0,7885782;0,5778358;0,5219512;0,5411123;
12;3;0,62439024;0,100354165;0,8460202;0,70515686;0,62439024;0,6466755;
12;5;0,56585366;0,09708596;0,82722193;0,68324816;0,56585366;0,6157119;
12;10;0,595122;0,08977228;0,8399524;0,72985816;0,595122;0,6502514;
13;2;0,5144231;0,11810995;0,8081084;0,62529075;0,5144231;0,5585071;
13;3;0,5;0,1430699;0,78515625;0,61951166;0,5;0,5410643;
13;5;0,5480769;0,113624185;0,8195035;0,64534706;0,5480769;0,588742;
13;10;0,5673077;0,11305907;0,8214451;0,6810207;0,5673077;0,6131918;
14;2;0,5;0,14564255;0,7870062;0,54819435;0,5;0,52148044;
14;3;0,5148515;0,09885741;0,8172238;0,67107165;0,5148515;0,5736723;
14;5;0,5792079;0,092939086;0,84165764;0,681485;0,5792079;0,6232278;
14;10;0,5792079;0,095169164;0,8415596;0,67854375;0,5792079;0,619243;
15;2;0,5048077;0,13049601;0,7911427;0,6239463;0,5048077;0,54925495;
15;3;0,53365386;0,13384086;0,80480313;0,6103974;0,53365386;0,5595534;
15;5;0,5144231;0,1167226;0,8091023;0,62926525;0,5144231;0,56055456;
15;10;0,5480769;0,11345231;0,8206824;0,6567716;0,5480769;0,59169376;
16;2;0,54901963;0,14260514;0,7949346;0,6344669;0,54901963;0,5824132;
16;3;0,5245098;0,1369199;0,7959198;0,6543924;0,5245098;0,56098384;
16;5;0,5;0,13184583;0,7925317;0,6187625;0,5;0,53862107;
16;10;0,5392157;0,109815486;0,8166811;0,6778222;0,5392157;0,5902636;
17;2;0,46190476;0,13821028;0,7787982;0,5705041;0,46190476;0,5030682;
17;3;0,50476193;0,116268575;0,8096599;0,59591377;0,50476193;0,54306865;
17;5;0,5;0,14380972;0,78532875;0,55051947;0,5;0,51855797;
17;10;0,47619048;0,15115866;0,7740363;0,53745294;0,47619048;0,5009264;
18;2;0,45714286;0,12865084;0,77850336;0,5986533;0,45714286;0,5043968;
18;3;0,4952381;0,1196489;0,7946032;0,64311904;0,4952381;0,54581755;
18;5;0,47142857;0,11205404;0,7899547;0,6209696;0,47142857;0,52793247;
18;10;0,51904756;0,11630063;0,80483;0,6484385;0,51904756;0,56813395;
19;2;0,5607477;0,11511588;0,82020265;0,6540777;0,5607477;0,5949025;
19;3;0,55607474;0,11058995;0,82061756;0,66811526;0,55607474;0,5971423;
19;5;0,57009345;0,09464562;0,8312298;0,70410234;0,57009345;0,626405;
19;10;0,58878505;0,10667604;0,8280636;0,6952558;0,58878505;0,6330149;
20;2;0,5140187;0,10822678;0,81288755;0,65172434;0,5140187;0,5655038;
20;3;0,55607474;0,1102824;0,8242205;0,6536959;0,55607474;0,5968586;
20;5;0,53271025;0,09721712;0,82476634;0,6491561;0,53271025;0,57858807;
20;10;0,55140185;0,108188935;0,8246353;0,63496727;0,55140185;0,5873872;0,65701985
"iris";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
5;2;0,8503937;0,010940165;0,95027596;0,97009796;0,8503937;0,8964921;
5;3;0,86614174;0,014970912;0,9518259;0,9636466;0,86614174;0,9051876;
5;5;0,8582677;0,013818838;0,94915986;0,960327;0,8582677;0,9023463;
5;10;0,8582677;0,013818838;0,9497179;0,9597912;0,8582677;0,9009931;
6;2;0,8445946;0,02006552;0,935126;0,95033777;0,8445946;0,8907722;
6;3;0,8108108;0,02006552;0,92394084;0,9471383;0,8108108;0,86893517;
6;5;0,8040541;0,013377014;0,92617786;0,962909;0,8040541;0,87169933;
6;10;0,7972973;0,013377014;0,92394084;0,9620743;0,7972973;0,8667607;
7;2;0,78571427;0,021215577;0,9162245;0,94472533;0,78571427;0,8546713;
7;3;0,80714285;0,024825407;0,9213266;0,93844384;0,80714285;0,8638188;
7;5;0,79285717;0,024381997;0,9162245;0,93601847;0,79285717;0,85620046;
7;10;0,78571427;0,024381997;0,9138265;0,9347583;0,78571427;0,8511927;
8;2;0,81333333;0,033333335;0,91555554;0,92063487;0,81333333;0,86276245;
8;3;0,8066667;0,02;0,9222222;0,9479729;0,8066667;0,8679438;
8;5;0,78;0,026666667;0,9088889;0,9311741;0,78;0,8464489;
8;10;0,76;0,026666667;0,9022222;0,9288499;0,76;0,8325207;
9;2;0,84931505;0,043611966;0,921186;0,9013699;0,84931505;0,8739137;
9;3;0,8561644;0,026838135;0,934697;0,93826056;0,8561644;0,89399636;
9;5;0,86986303;0,0301929;0,9369488;0,9320405;0,86986303;0,8991463;
9;10;0,8630137;0,0301929;0,934697;0,93082416;0,8630137;0,8948266;
10;2;0,8561644;0,01688328;0,94145244;0,9590844;0,8561644;0,90282035;
10;3;0,84246576;0,023803204;0,9322575;0,9431026;0,84246576;0,8880679;
10;5;0,8561644;0,0270549;0,9344624;0,9364907;0,8561644;0,8934045;
10;10;0,8767123;0,023803204;0,94356346;0,9466134;0,8767123;0,9093123;
11;2;0,8666667;0,03;0,9355555;0,9327603;0,8666667;0,89762545;
11;3;0,8666667;0,036666665;0,93111116;0,91932374;0,8666667;0,8917397;
11;5;0,8333333;0,04;0,9177777;0,90803385;0,8333333;0,8680699;
11;10;0,84;0,04;0,92;0,9090909;0,84;0,8723404;
12;2;0,85333335;0,02;0,9377778;0,95347065;0,85333335;0,89772725;
12;3;0,7866667;0,05;0,8955555;0,8889556;0,7866667;0,8285233;
12;5;0,82;0,03;0,92;0,9268292;0,82;0,86813194;
12;10;0,82;0,033333335;0,91777784;0,91957366;0,82;0,8649941;
13;2;0,8333333;0,046666667;0,91333336;0,8973168;0,8333333;0,860561;
13;3;0,85333335;0,036666665;0,9266667;0,9200542;0,85333335;0,8838305;
13;5;0,8666667;0,036666665;0,93111104;0,9195011;0,8666667;0,89101154;
13;10;0,88;0,036666665;0,9355555;0,9213048;0,88;0,89949137;
14;2;0,91333336;0,02;0,9577778;0,95774233;0,91333336;0,9349884;
14;3;0,87333333;0,03;0,9377778;0,93381643;0,87333333;0,9022617;
14;5;0,87333333;0,026666667;0,94;0,94122386;0,87333333;0,9058435;
14;10;0,88666666;0,026666667;0,9444445;0,94249153;0,88666666;0,9136583;
15;2;0,8;0,043333333;0,90444446;0,9019047;0,8;0,8430012;
15;3;0,82;0,036666665;0,91555554;0,9126984;0,82;0,8623188;
15;5;0,82;0,033333335;0,91777784;0,9222222;0,82;0,8668815;
15;10;0,81333333;0,033333335;0,91555554;0,9212121;0,81333333;0,8627008;
16;2;0,82;0,036666665;0,91555554;0,9185512;0,82;0,8631613;
16;3;0,79333335;0,043333333;0,9022222;0,89444447;0,79333335;0,8388084;
16;5;0,82666665;0,033333335;0,92;0,9223125;0,82666665;0,87096864;
16;10;0,79333335;0,036666665;0,9066667;0,9103175;0,79333335;0,8464984;
17;2;0,8466667;0,036666665;0,9244444;0,91805553;0,8466667;0,8789116;
17;3;0,84;0,033333335;0,9244445;0,92248064;0,84;0,8781362;
17;5;0,8066667;0,036666665;0,9111111;0,9099583;0,8066667;0,8529258;
17;10;0,82666665;0,036666665;0,91777784;0,9136212;0,82666665;0,8666043;
18;2;0,82666665;0,02;0,928889;0,95140666;0,82666665;0,8789683;
18;3;0,8466667;0,016666668;0,9377778;0,959127;0,8466667;0,89726245;
18;5;0,84;0,023333333;0,93111116;0,9430847;0,84;0,8862858;
18;10;0,81333333;0,026666667;0,92;0,93287474;0,81333333;0,8664033;
19;2;0,82666665;0,023333333;0,9266667;0,94207317;0,82666665;0,87830687;
19;3;0,81333333;0,036666665;0,91333336;0,911537;0,81333333;0,8578595;
19;5;0,84;0,03;0,9266667;0,9296296;0,84;0,8807018;
19;10;0,8466667;0,03;0,92888886;0,93044263;0,8466667;0,8850973;
20;2;0,7866667;0,033333335;0,9066667;0,9166667;0,7866667;0,8450492;
20;3;0,78;0,04;0,9;0,89740264;0,78;0,8302878;
20;5;0,76;0,046666667;0,88888884;0,8813701;0,76;0,8143435;
20;10;0,76;0,043333333;0,89111114;0,88716626;0,76;0,81598634;0,9349884
"wine";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
5;2;0,8202247;0,069949806;0,8918697;0,87738353;0,8202247;0,8378889;
5;3;0,76404494;0,07575195;0,8657998;0,85236377;0,76404494;0,798361;
