glass
distance;votingInput;folds;k;TP;FP;Accuracy;Precision;Recall;F
Manhattan;constant;2;1;0.61214954;0.1586792;0.8014674;0.6468996;0.61214954;0.6139559
Manhattan;constant;2;3;0.635514;0.1384187;0.81801903;0.642859;0.635514;0.6366273
Manhattan;constant;2;5;0.5981308;0.1581273;0.8037601;0.61513275;0.5981308;0.59324986
Manhattan;constant;2;7;0.57476634;0.19174412;0.7775134;0.58346313;0.57476634;0.5596906
Manhattan;constant;2;11;0.37383178;0.3227485;0.64900863;0.38569713;0.37383178;0.3204843
Manhattan;constant;2;13;0.39719626;0.31229657;0.66571313;0.40374342;0.39719626;0.33435768
Manhattan;constant;2;17;0.44392523;0.30231896;0.69342303;0.4877155;0.44392523;0.35947976
Manhattan;constant;2;19;0.42056075;0.30552453;0.6798411;0.41967016;0.42056075;0.34938166
Manhattan;constant;2;23;0.42523363;0.312009;0.68182814;0.46476844;0.42523363;0.33235386
Manhattan;constant;3;1;0.6869159;0.13190421;0.844113;0.6809579;0.6869159;0.67644495
Manhattan;constant;3;3;0.7196262;0.11195257;0.85942006;0.7096361;0.7196262;0.71103925
Manhattan;constant;3;5;0.6682243;0.132481;0.8418639;0.6675449;0.6682243;0.65826064
Manhattan;constant;3;7;0.64953274;0.16525583;0.8210761;0.63723457;0.64953274;0.6253342
Manhattan;constant;3;11;0.5373832;0.24319047;0.74914837;0.553332;0.5373832;0.4936888
Manhattan;constant;3;13;0.5046729;0.26347607;0.7354573;0.49765632;0.5046729;0.4319005
Manhattan;constant;3;17;0.4813084;0.27750406;0.7218972;0.34686214;0.4813084;0.39054033
Manhattan;constant;3;19;0.5046729;0.26916566;0.73628706;0.53182024;0.5046729;0.41217571
Manhattan;constant;3;23;0.50934577;0.26176125;0.7414185;0.36201537;0.50934577;0.41356662
Manhattan;constant;5;1;0.69158876;0.12968373;0.8530002;0.6874963;0.69158876;0.6777577
Manhattan;constant;5;3;0.7056075;0.11656965;0.85380816;0.6961544;0.7056075;0.6971972
Manhattan;constant;5;5;0.7056075;0.11587892;0.8560355;0.7030194;0.7056075;0.70191514
Manhattan;constant;5;7;0.6775701;0.13161497;0.8442441;0.6832063;0.6775701;0.6700898
Manhattan;constant;5;11;0.5420561;0.22754844;0.7598698;0.54171413;0.5420561;0.49940652
Manhattan;constant;5;13;0.53271025;0.23972248;0.75043666;0.5273119;0.53271025;0.4827327
Manhattan;constant;5;17;0.50934577;0.25240135;0.7382086;0.51820314;0.50934577;0.43984264
Manhattan;constant;5;19;0.5420561;0.23499086;0.76091796;0.5427823;0.5420561;0.46780577
Manhattan;constant;5;23;0.47663552;0.2725292;0.71759546;0.45569587;0.47663552;0.4038386
Manhattan;constant;10;1;0.6869159;0.13321184;0.84313035;0.6704057;0.6869159;0.6739411
Manhattan;constant;10;3;0.6775701;0.122325584;0.84133995;0.6673855;0.6775701;0.66927373
Manhattan;constant;10;5;0.7056075;0.12292468;0.8556206;0.6851865;0.7056075;0.69014186
Manhattan;constant;10;7;0.6588785;0.1575924;0.825487;0.6359529;0.6588785;0.63616735
Manhattan;constant;10;11;0.60747665;0.19443458;0.7914447;0.6028722;0.60747665;0.57369053
Manhattan;constant;10;13;0.61214954;0.1900495;0.7995676;0.61669457;0.61214954;0.5717594
Manhattan;constant;10;17;0.53271025;0.2265537;0.75735873;0.53913254;0.53271025;0.48657864
Manhattan;constant;10;19;0.47663552;0.2683022;0.71410173;0.5119933;0.47663552;0.4221103
Manhattan;constant;10;23;0.49532712;0.2613295;0.72748715;0.5245769;0.49532712;0.4346234
Manhattan;proportional;2;1;0.6401869;0.13774008;0.81666523;0.6672839;0.6401869;0.644175
Manhattan;proportional;2;3;0.64953274;0.12825342;0.8250065;0.663169;0.64953274;0.65183777
Manhattan;proportional;2;5;0.63084114;0.14288704;0.8141541;0.6528616;0.63084114;0.63301015
Manhattan;proportional;2;7;0.6214953;0.14990228;0.81070393;0.63709515;0.6214953;0.6193673
Manhattan;proportional;2;11;0.58411217;0.18244237;0.7824264;0.59753263;0.58411217;0.5791167
Manhattan;proportional;2;13;0.60747665;0.17996368;0.7930824;0.6147439;0.60747665;0.5972957
Manhattan;proportional;2;17;0.6401869;0.1786382;0.8095904;0.65986645;0.6401869;0.6154937
Manhattan;proportional;2;19;0.59345794;0.20434223;0.7777317;0.6110052;0.59345794;0.5687073
Manhattan;proportional;2;23;0.58878505;0.21391687;0.7772732;0.5868026;0.58878505;0.5457393
Manhattan;proportional;3;1;0.7196262;0.11709704;0.8560355;0.71502006;0.7196262;0.7116553
Manhattan;proportional;3;3;0.72897196;0.104937315;0.86579615;0.72363114;0.72897196;0.72335535
Manhattan;proportional;3;5;0.71028036;0.11439518;0.85717094;0.7034764;0.71028036;0.70263386
Manhattan;proportional;3;7;0.7196262;0.120173074;0.85865587;0.7107592;0.7196262;0.7085949
Manhattan;proportional;3;11;0.6869159;0.14320545;0.8399861;0.67504954;0.6869159;0.6705941
Manhattan;proportional;3;13;0.6869159;0.15052207;0.8400734;0.6732109;0.6869159;0.66183656
Manhattan;proportional;3;17;0.6635514;0.16672029;0.8233033;0.6614461;0.6635514;0.6384456
Manhattan;proportional;3;19;0.6728972;0.16638649;0.8271901;0.6930586;0.6728972;0.6470466
Manhattan;proportional;3;23;0.6775701;0.16320916;0.83188486;0.69619364;0.6775701;0.64905834
Manhattan;proportional;5;1;0.71028036;0.117574275;0.8540047;0.70592463;0.71028036;0.7040289
Manhattan;proportional;5;3;0.6869159;0.12191923;0.8436327;0.68341416;0.6869159;0.68183017
Manhattan;proportional;5;5;0.71495324;0.11406562;0.85795707;0.70608675;0.71495324;0.7076594
Manhattan;proportional;5;7;0.7196262;0.11767075;0.8601625;0.7096462;0.7196262;0.7097749
Manhattan;proportional;5;11;0.7196262;0.123473756;0.85789156;0.71118265;0.7196262;0.7072426
Manhattan;proportional;5;13;0.7009346;0.13657114;0.8505983;0.6880276;0.7009346;0.6803618
Manhattan;proportional;5;17;0.6728972;0.15176679;0.831601;0.66909206;0.6728972;0.65420204
Manhattan;proportional;5;19;0.6588785;0.16105361;0.82443887;0.6519003;0.6588785;0.6317941
Manhattan;proportional;5;23;0.6588785;0.16342478;0.8228448;0.6407635;0.6588785;0.6274804
Manhattan;proportional;10;1;0.6869159;0.12148894;0.8443315;0.6786862;0.6869159;0.6794365
Manhattan;proportional;10;3;0.6869159;0.113469355;0.84612197;0.6843557;0.6869159;0.68164134
Manhattan;proportional;10;5;0.6869159;0.12189471;0.8466023;0.6739169;0.6869159;0.6771735
Manhattan;proportional;10;7;0.7056075;0.12085546;0.8535243;0.6944979;0.7056075;0.6966072
Manhattan;proportional;10;11;0.7056075;0.12842293;0.8497031;0.6918226;0.7056075;0.69105595
Manhattan;proportional;10;13;0.7056075;0.1325898;0.8469081;0.6909783;0.7056075;0.6880145
Manhattan;proportional;10;17;0.6869159;0.15163837;0.8352258;0.65815955;0.6869159;0.6612465
Manhattan;proportional;10;19;0.69158876;0.15002738;0.8385449;0.6632115;0.69158876;0.66420555
Manhattan;proportional;10;23;0.6962617;0.15216999;0.83919996;0.67474836;0.6962617;0.6691932
Manhattan;weightedWithDistance;2;1;0.6401869;0.13774008;0.81666523;0.6672839;0.6401869;0.644175
Manhattan;weightedWithDistance;2;3;0.64953274;0.12825342;0.8250065;0.663169;0.64953274;0.65183777
Manhattan;weightedWithDistance;2;5;0.63084114;0.14288704;0.8141541;0.6528616;0.63084114;0.63301015
Manhattan;weightedWithDistance;2;7;0.6214953;0.14990228;0.81070393;0.63709515;0.6214953;0.6193673
Manhattan;weightedWithDistance;2;11;0.58411217;0.18244237;0.7824264;0.59753263;0.58411217;0.5791167
Manhattan;weightedWithDistance;2;13;0.60747665;0.17996368;0.7930824;0.6147439;0.60747665;0.5972957
Manhattan;weightedWithDistance;2;17;0.6401869;0.1786382;0.8095904;0.65986645;0.6401869;0.6154937
Manhattan;weightedWithDistance;2;19;0.59345794;0.20434223;0.7777317;0.6110052;0.59345794;0.5687073
Manhattan;weightedWithDistance;2;23;0.58878505;0.21391687;0.7772732;0.5868026;0.58878505;0.5457393
Manhattan;weightedWithDistance;3;1;0.7196262;0.11709704;0.8560355;0.71502006;0.7196262;0.7116553
Manhattan;weightedWithDistance;3;3;0.72897196;0.104937315;0.86579615;0.72363114;0.72897196;0.72335535
Manhattan;weightedWithDistance;3;5;0.71028036;0.11439518;0.85717094;0.7034764;0.71028036;0.70263386
Manhattan;weightedWithDistance;3;7;0.7196262;0.120173074;0.85865587;0.7107592;0.7196262;0.7085949
Manhattan;weightedWithDistance;3;11;0.6869159;0.14320545;0.8399861;0.67504954;0.6869159;0.6705941
Manhattan;weightedWithDistance;3;13;0.6869159;0.15052207;0.8400734;0.6732109;0.6869159;0.66183656
Manhattan;weightedWithDistance;3;17;0.6635514;0.16672029;0.8233033;0.6614461;0.6635514;0.6384456
Manhattan;weightedWithDistance;3;19;0.6728972;0.16638649;0.8271901;0.6930586;0.6728972;0.6470466
Manhattan;weightedWithDistance;3;23;0.6775701;0.16320916;0.83188486;0.69619364;0.6775701;0.64905834
Manhattan;weightedWithDistance;5;1;0.71028036;0.117574275;0.8540047;0.70592463;0.71028036;0.7040289
Manhattan;weightedWithDistance;5;3;0.6869159;0.12191923;0.8436327;0.68341416;0.6869159;0.68183017
Manhattan;weightedWithDistance;5;5;0.71495324;0.11406562;0.85795707;0.70608675;0.71495324;0.7076594
Manhattan;weightedWithDistance;5;7;0.7196262;0.11767075;0.8601625;0.7096462;0.7196262;0.7097749
Manhattan;weightedWithDistance;5;11;0.7196262;0.123473756;0.85789156;0.71118265;0.7196262;0.7072426
Manhattan;weightedWithDistance;5;13;0.7009346;0.13657114;0.8505983;0.6880276;0.7009346;0.6803618
Manhattan;weightedWithDistance;5;17;0.6728972;0.15176679;0.831601;0.66909206;0.6728972;0.65420204
Manhattan;weightedWithDistance;5;19;0.6588785;0.16105361;0.82443887;0.6519003;0.6588785;0.6317941
Manhattan;weightedWithDistance;5;23;0.6588785;0.16342478;0.8228448;0.6407635;0.6588785;0.6274804
Manhattan;weightedWithDistance;10;1;0.6869159;0.12148894;0.8443315;0.6786862;0.6869159;0.6794365
Manhattan;weightedWithDistance;10;3;0.6869159;0.113469355;0.84612197;0.6843557;0.6869159;0.68164134
Manhattan;weightedWithDistance;10;5;0.6869159;0.12189471;0.8466023;0.6739169;0.6869159;0.6771735
Manhattan;weightedWithDistance;10;7;0.7056075;0.12085546;0.8535243;0.6944979;0.7056075;0.6966072
Manhattan;weightedWithDistance;10;11;0.7056075;0.12842293;0.8497031;0.6918226;0.7056075;0.69105595
Manhattan;weightedWithDistance;10;13;0.7056075;0.1325898;0.8469081;0.6909783;0.7056075;0.6880145
Manhattan;weightedWithDistance;10;17;0.6869159;0.15163837;0.8352258;0.65815955;0.6869159;0.6612465
Manhattan;weightedWithDistance;10;19;0.69158876;0.15002738;0.8385449;0.6632115;0.69158876;0.66420555
Manhattan;weightedWithDistance;10;23;0.6962617;0.15216999;0.83919996;0.67474836;0.6962617;0.6691932
Manhattan;weightedWithExp;2;1;0.6635514;0.1198281;0.82856584;0.68226916;0.6635514;0.6627674
Manhattan;weightedWithExp;2;3;0.6588785;0.12143907;0.8265351;0.67067176;0.6588785;0.66023993
Manhattan;weightedWithExp;2;5;0.682243;0.108269736;0.8424754;0.7041885;0.682243;0.68294245
Manhattan;weightedWithExp;2;7;0.6775701;0.11518369;0.83697265;0.6891705;0.6775701;0.67696315
Manhattan;weightedWithExp;2;11;0.6775701;0.12079882;0.8344397;0.680352;0.6775701;0.67674106
Manhattan;weightedWithExp;2;13;0.69158876;0.11772078;0.8429776;0.68463016;0.69158876;0.6863944
Manhattan;weightedWithExp;2;17;0.6869159;0.13199452;0.8356625;0.6651216;0.6869159;0.6688252
Manhattan;weightedWithExp;2;19;0.6869159;0.13018292;0.8356625;0.66113913;0.6869159;0.6720847
Manhattan;weightedWithExp;2;23;0.6775701;0.14208582;0.82991964;0.6588137;0.6775701;0.6584274
Manhattan;weightedWithExp;3;1;0.71495324;0.11195288;0.858765;0.70101494;0.71495324;0.70370877
Manhattan;weightedWithExp;3;3;0.7196262;0.10811496;0.8606647;0.7128966;0.7196262;0.71404886
Manhattan;weightedWithExp;3;5;0.71495324;0.11195288;0.858765;0.70101494;0.71495324;0.70370877
Manhattan;weightedWithExp;3;7;0.7196262;0.111522295;0.86092675;0.70541596;0.7196262;0.7084393
Manhattan;weightedWithExp;3;11;0.7056075;0.11828023;0.8523889;0.6899229;0.7056075;0.69552517
Manhattan;weightedWithExp;3;13;0.7056075;0.12014853;0.8511006;0.6892712;0.7056075;0.69448626
Manhattan;weightedWithExp;3;17;0.6962617;0.13301598;0.84271556;0.67584544;0.6962617;0.6802924
Manhattan;weightedWithExp;3;19;0.7009346;0.13074443;0.84590364;0.68008107;0.7009346;0.6846749
Manhattan;weightedWithExp;3;23;0.7056075;0.12756708;0.8493537;0.6843241;0.7056075;0.68919474
Manhattan;weightedWithExp;5;1;0.7242991;0.104078166;0.86520654;0.7194226;0.7242991;0.7191913
Manhattan;weightedWithExp;5;3;0.7196262;0.10481068;0.8617565;0.7177321;0.7196262;0.7162565
