Manhattan
------------------------------------------------------------
Glass
folds;k;TP;FP;Accuracy;Precision;Recall;F
2;1;0.20560747;0.19481994;0.6648397;0.15320712;0.20560747;0.16378286
3;1;0.2990654;0.29485786;0.6406018;0.13245426;0.2990654;0.18328613
5;1;0.3364486;0.3001371;0.6476549;0.14369158;0.3364486;0.20134091
10;1;0.3317757;0.3140669;0.63883317;0.14093246;0.3317757;0.19773963
2;3;0.22897196;0.18842237;0.67708975;0.1516937;0.22897196;0.17568788
3;3;0.22429909;0.19316417;0.6736833;0.16215341;0.22429909;0.17789395
5;3;0.23831776;0.20591518;0.66798407;0.14088605;0.23831776;0.17080098
10;3;0.26168224;0.21696325;0.6711503;0.14565389;0.26168224;0.18242036
2;5;0.1915888;0.24439149;0.63518655;0.12552369;0.1915888;0.15167446
3;5;0.22897196;0.24452521;0.64702165;0.12708335;0.22897196;0.16137567
5;5;0.2897196;0.24029434;0.66828984;0.14798431;0.2897196;0.19331409
10;5;0.27570093;0.21470097;0.6761944;0.15079804;0.27570093;0.18962015
2;7;0.21028037;0.26545283;0.6295092;0.13292314;0.21028037;0.16259496
3;7;0.27570093;0.33335048;0.6154249;0.11640706;0.27570093;0.16369744
5;7;0.27570093;0.32370684;0.618744;0.12119675;0.27570093;0.16824132
10;7;0.27570093;0.29309458;0.6362564;0.12756038;0.27570093;0.17427157
2;11;0.21962617;0.26518044;0.62937814;0.1427401;0.21962617;0.17288163
3;11;0.27570093;0.28371033;0.6437899;0.13694948;0.27570093;0.18299802
5;11;0.30373833;0.32251433;0.6317146;0.12753654;0.30373833;0.17964289
10;11;0.31308413;0.33068445;0.6308193;0.12656592;0.31308413;0.18026054
2;13;0.21495327;0.26015887;0.6288322;0.14946423;0.21495327;0.17596844
3;13;0.26168224;0.27112636;0.64437944;0.14259921;0.26168224;0.18457113
5;13;0.3084112;0.31959367;0.63485897;0.13242516;0.3084112;0.18529053
10;13;0.317757;0.32241446;0.6371299;0.13196467;0.317757;0.18648289
2;17;0.15420562;0.24648105;0.60983497;0.13492125;0.15420562;0.14117931
3;17;0.18224299;0.2612403;0.6158399;0.13782214;0.18224299;0.15650986
5;17;0.28037384;0.27356264;0.6488558;0.15294386;0.28037384;0.19761752
