wine.arff
Parameter vector;TP;FP;Precision;Recall;F-measure
0000;0,938;0,036;0,94;0,938;0,938
0001;0,938;0,036;0,94;0,938;0,938
0010;0,938;0,036;0,94;0,938;0,938
0011;0,938;0,036;0,94;0,938;0,938
0100;0,938;0,036;0,94;0,938;0,938
0101;0,938;0,036;0,94;0,938;0,938
0110;0,938;0,036;0,94;0,938;0,938
0111;0,938;0,036;0,94;0,938;0,938
1000;0,938;0,036;0,94;0,938;0,938
1001;0,938;0,036;0,94;0,938;0,938
1010;0,938;0,036;0,94;0,938;0,938
1011;0,938;0,036;0,94;0,938;0,938
1100;0,938;0,036;0,94;0,938;0,938
1101;0,938;0,036;0,94;0,938;0,938
1110;0,938;0,036;0,94;0,938;0,938
1111;0,938;0,036;0,94;0,938;0,938



iris.arff
Parameter vector;TP;FP;Precision;Recall;F-measure
0000;0,96;0,02;0,96;0,96;0,96
0001;0,96;0,02;0,96;0,96;0,96
0010;0,96;0,02;0,96;0,96;0,96
0011;0,96;0,02;0,96;0,96;0,96
0100;0,96;0,02;0,96;0,96;0,96
0101;0,96;0,02;0,96;0,96;0,96
0110;0,96;0,02;0,96;0,96;0,96
0111;0,96;0,02;0,96;0,96;0,96
1000;0,96;0,02;0,96;0,96;0,96
1001;0,96;0,02;0,96;0,96;0,96
1010;0,96;0,02;0,96;0,96;0,96
1011;0,96;0,02;0,96;0,96;0,96
1100;0,96;0,02;0,96;0,96;0,96
1101;0,96;0,02;0,96;0,96;0,96
1110;0,96;0,02;0,96;0,96;0,96
1111;0,96;0,02;0,96;0,96;0,96



glass.arff
Parameter vector;TP;FP;Precision;Recall;F-measure
0000;0,668;0,13;0,67;0,668;0,668
0001;0,668;0,13;0,67;0,668;0,668
0010;0,668;0,13;0,67;0,668;0,668
0011;0,668;0,13;0,67;0,668;0,668
0100;0,668;0,13;0,67;0,668;0,668
0101;0,668;0,13;0,67;0,668;0,668
0110;0,668;0,13;0,67;0,668;0,668
0111;0,668;0,13;0,67;0,668;0,668
1000;0,668;0,13;0,67;0,668;0,668
1001;0,668;0,13;0,67;0,668;0,668
1010;0,668;0,13;0,67;0,668;0,668
1011;0,668;0,13;0,67;0,668;0,668
1100;0,668;0,13;0,67;0,668;0,668
1101;0,668;0,13;0,67;0,668;0,668
1110;0,668;0,13;0,67;0,668;0,668
1111;0,668;0,13;0,67;0,668;0,668
 
