wine.arff
confidenceFactor;minNumObj;numFolds;TP;FP;Precision;Recall;F-measure
0,01;2;3;0,938;0,036;0,94;0,938;0,938
0,01;2;4;0,938;0,036;0,94;0,938;0,938
0,01;2;5;0,938;0,036;0,94;0,938;0,938
0,01;2;8;0,938;0,036;0,94;0,938;0,938
0,01;2;10;0,938;0,036;0,94;0,938;0,938
0,01;2;20;0,938;0,036;0,94;0,938;0,938
0,01;2;25;0,938;0,036;0,94;0,938;0,938
0,01;2;50;0,938;0,036;0,94;0,938;0,938
0,01;4;3;0,938;0,036;0,94;0,938;0,938
0,01;4;4;0,938;0,036;0,94;0,938;0,938
0,01;4;5;0,938;0,036;0,94;0,938;0,938
0,01;4;8;0,938;0,036;0,94;0,938;0,938
0,01;4;10;0,938;0,036;0,94;0,938;0,938
0,01;4;20;0,938;0,036;0,94;0,938;0,938
0,01;4;25;0,938;0,036;0,94;0,938;0,938
0,01;4;50;0,938;0,036;0,94;0,938;0,938
0,01;5;3;0,938;0,036;0,94;0,938;0,938
0,01;5;4;0,938;0,036;0,94;0,938;0,938
0,01;5;5;0,938;0,036;0,94;0,938;0,938
0,01;5;8;0,938;0,036;0,94;0,938;0,938
0,01;5;10;0,938;0,036;0,94;0,938;0,938
0,01;5;20;0,938;0,036;0,94;0,938;0,938
0,01;5;25;0,938;0,036;0,94;0,938;0,938
0,01;5;50;0,938;0,036;0,94;0,938;0,938
0,01;6;3;0,938;0,036;0,94;0,938;0,938
0,01;6;4;0,938;0,036;0,94;0,938;0,938
0,01;6;5;0,938;0,036;0,94;0,938;0,938
0,01;6;8;0,938;0,036;0,94;0,938;0,938
0,01;6;10;0,938;0,036;0,94;0,938;0,938
0,01;6;20;0,938;0,036;0,94;0,938;0,938
0,01;6;25;0,938;0,036;0,94;0,938;0,938
0,01;6;50;0,938;0,036;0,94;0,938;0,938
0,01;10;3;0,938;0,036;0,94;0,938;0,938
0,01;10;4;0,938;0,036;0,94;0,938;0,938
0,01;10;5;0,938;0,036;0,94;0,938;0,938
0,01;10;8;0,938;0,036;0,94;0,938;0,938
0,01;10;10;0,938;0,036;0,94;0,938;0,938
0,01;10;20;0,938;0,036;0,94;0,938;0,938
0,01;10;25;0,938;0,036;0,94;0,938;0,938
0,01;10;50;0,938;0,036;0,94;0,938;0,938
0,01;20;3;0,938;0,036;0,94;0,938;0,938
0,01;20;4;0,938;0,036;0,94;0,938;0,938
0,01;20;5;0,938;0,036;0,94;0,938;0,938
0,01;20;8;0,938;0,036;0,94;0,938;0,938
0,01;20;10;0,938;0,036;0,94;0,938;0,938
0,01;20;20;0,938;0,036;0,94;0,938;0,938
0,01;20;25;0,938;0,036;0,94;0,938;0,938
0,01;20;50;0,938;0,036;0,94;0,938;0,938
0,1;2;3;0,938;0,036;0,94;0,938;0,938
0,1;2;4;0,938;0,036;0,94;0,938;0,938
0,1;2;5;0,938;0,036;0,94;0,938;0,938
0,1;2;8;0,938;0,036;0,94;0,938;0,938
0,1;2;10;0,938;0,036;0,94;0,938;0,938
0,1;2;20;0,938;0,036;0,94;0,938;0,938
0,1;2;25;0,938;0,036;0,94;0,938;0,938
0,1;2;50;0,938;0,036;0,94;0,938;0,938
0,1;4;3;0,938;0,036;0,94;0,938;0,938
0,1;4;4;0,938;0,036;0,94;0,938;0,938
0,1;4;5;0,938;0,036;0,94;0,938;0,938
0,1;4;8;0,938;0,036;0,94;0,938;0,938
0,1;4;10;0,938;0,036;0,94;0,938;0,938
0,1;4;20;0,938;0,036;0,94;0,938;0,938
0,1;4;25;0,938;0,036;0,94;0,938;0,938
0,1;4;50;0,938;0,036;0,94;0,938;0,938
0,1;5;3;0,938;0,036;0,94;0,938;0,938
0,1;5;4;0,938;0,036;0,94;0,938;0,938
0,1;5;5;0,938;0,036;0,94;0,938;0,938
0,1;5;8;0,938;0,036;0,94;0,938;0,938
0,1;5;10;0,938;0,036;0,94;0,938;0,938
0,1;5;20;0,938;0,036;0,94;0,938;0,938
0,1;5;25;0,938;0,036;0,94;0,938;0,938
0,1;5;50;0,938;0,036;0,94;0,938;0,938
0,1;6;3;0,938;0,036;0,94;0,938;0,938
0,1;6;4;0,938;0,036;0,94;0,938;0,938
0,1;6;5;0,938;0,036;0,94;0,938;0,938
0,1;6;8;0,938;0,036;0,94;0,938;0,938
0,1;6;10;0,938;0,036;0,94;0,938;0,938
0,1;6;20;0,938;0,036;0,94;0,938;0,938
0,1;6;25;0,938;0,036;0,94;0,938;0,938
0,1;6;50;0,938;0,036;0,94;0,938;0,938
0,1;10;3;0,938;0,036;0,94;0,938;0,938
0,1;10;4;0,938;0,036;0,94;0,938;0,938
0,1;10;5;0,938;0,036;0,94;0,938;0,938
0,1;10;8;0,938;0,036;0,94;0,938;0,938
0,1;10;10;0,938;0,036;0,94;0,938;0,938
0,1;10;20;0,938;0,036;0,94;0,938;0,938
0,1;10;25;0,938;0,036;0,94;0,938;0,938
0,1;10;50;0,938;0,036;0,94;0,938;0,938
0,1;20;3;0,938;0,036;0,94;0,938;0,938
0,1;20;4;0,938;0,036;0,94;0,938;0,938
0,1;20;5;0,938;0,036;0,94;0,938;0,938
0,1;20;8;0,938;0,036;0,94;0,938;0,938
0,1;20;10;0,938;0,036;0,94;0,938;0,938
0,1;20;20;0,938;0,036;0,94;0,938;0,938
0,1;20;25;0,938;0,036;0,94;0,938;0,938
0,1;20;50;0,938;0,036;0,94;0,938;0,938
0,2;2;3;0,938;0,036;0,94;0,938;0,938
0,2;2;4;0,938;0,036;0,94;0,938;0,938
0,2;2;5;0,938;0,036;0,94;0,938;0,938
0,2;2;8;0,938;0,036;0,94;0,938;0,938
0,2;2;10;0,938;0,036;0,94;0,938;0,938
0,2;2;20;0,938;0,036;0,94;0,938;0,938
0,2;2;25;0,938;0,036;0,94;0,938;0,938
0,2;2;50;0,938;0,036;0,94;0,938;0,938
0,2;4;3;0,938;0,036;0,94;0,938;0,938
0,2;4;4;0,938;0,036;0,94;0,938;0,938
0,2;4;5;0,938;0,036;0,94;0,938;0,938
0,2;4;8;0,938;0,036;0,94;0,938;0,938
0,2;4;10;0,938;0,036;0,94;0,938;0,938
0,2;4;20;0,938;0,036;0,94;0,938;0,938
0,2;4;25;0,938;0,036;0,94;0,938;0,938
0,2;4;50;0,938;0,036;0,94;0,938;0,938
0,2;5;3;0,938;0,036;0,94;0,938;0,938
0,2;5;4;0,938;0,036;0,94;0,938;0,938
0,2;5;5;0,938;0,036;0,94;0,938;0,938
0,2;5;8;0,938;0,036;0,94;0,938;0,938
0,2;5;10;0,938;0,036;0,94;0,938;0,938
0,2;5;20;0,938;0,036;0,94;0,938;0,938
0,2;5;25;0,938;0,036;0,94;0,938;0,938
0,2;5;50;0,938;0,036;0,94;0,938;0,938
0,2;6;3;0,938;0,036;0,94;0,938;0,938
0,2;6;4;0,938;0,036;0,94;0,938;0,938
0,2;6;5;0,938;0,036;0,94;0,938;0,938
0,2;6;8;0,938;0,036;0,94;0,938;0,938
0,2;6;10;0,938;0,036;0,94;0,938;0,938
0,2;6;20;0,938;0,036;0,94;0,938;0,938
0,2;6;25;0,938;0,036;0,94;0,938;0,938
0,2;6;50;0,938;0,036;0,94;0,938;0,938
0,2;10;3;0,938;0,036;0,94;0,938;0,938
0,2;10;4;0,938;0,036;0,94;0,938;0,938
0,2;10;5;0,938;0,036;0,94;0,938;0,938
0,2;10;8;0,938;0,036;0,94;0,938;0,938
0,2;10;10;0,938;0,036;0,94;0,938;0,938
0,2;10;20;0,938;0,036;0,94;0,938;0,938
0,2;10;25;0,938;0,036;0,94;0,938;0,938
0,2;10;50;0,938;0,036;0,94;0,938;0,938
0,2;20;3;0,938;0,036;0,94;0,938;0,938
0,2;20;4;0,938;0,036;0,94;0,938;0,938
0,2;20;5;0,938;0,036;0,94;0,938;0,938
0,2;20;8;0,938;0,036;0,94;0,938;0,938
0,2;20;10;0,938;0,036;0,94;0,938;0,938
0,2;20;20;0,938;0,036;0,94;0,938;0,938
0,2;20;25;0,938;0,036;0,94;0,938;0,938
0,2;20;50;0,938;0,036;0,94;0,938;0,938
0,25;2;3;0,938;0,036;0,94;0,938;0,938
